"","FC1","FNC9","FNC12","FC11","FNC7","FNC1","FC6","FC2","FNC10","FNC8","FC4","FC12","FC7","FC10","FNC3","FC3","FNC6","FC5","FNC11","FC9","FNC5","FNC2","FNC4","FC8","taxonomy"
"1",5384,235,28,1736,4,324,2119,1520,0,420,100,473,5084,3419,0,110,61,46,0,499,0,89,0,1976,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Polaromonas;"
"2",1805,1501,2469,209,535,4229,511,1135,180,1230,238,268,529,1168,6856,516,151,260,706,206,119,1368,193,475,"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Pseudarthrobacter;"
"3",1656,3233,494,855,141,133,119,5641,1776,2574,52,479,3690,1238,2381,73,2649,30,1254,1484,3449,1905,4651,2102,"k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Geothrix;"
"4",467,649,465,75,114,162,66,191,16,487,17,121,136,197,736,20,103,10,33,8,30,401,54,128,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;"
"5",445,296,469,105,178,138,115,370,94,221,177,197,171,107,206,296,32,190,96,144,26,146,72,275,"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Terrabacter;"
"6",421,582,232,495,110,223,94,514,218,535,11,100,524,448,338,25,335,2,258,107,290,256,505,427,"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae;g__Geobacter;"
"7",389,305,350,84,303,65,158,295,45,175,173,284,91,159,161,210,11,130,15,127,20,96,31,185,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__uncultured-Xanthomonadaceae;"
"8",323,7,2,16,7,0,116,15,4,14,10,186,0,11,0,8,0,22,0,0,0,0,0,167,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Rhodanobacter;"
"9",319,1311,1021,7,554,1964,114,287,0,881,21,0,98,60,1272,32,42,22,13,3,21,1309,16,38,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia;"
"10",299,212,262,104,101,200,79,241,121,176,23,31,248,167,173,36,67,15,69,49,97,210,95,181,"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;"
"11",237,281,202,96,410,150,135,331,209,210,306,89,190,328,249,324,58,229,184,259,102,85,167,171,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;"
"12",235,111,171,125,79,132,40,141,56,84,9,87,125,88,172,11,31,2,33,16,60,103,61,133,"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;"
"13",215,458,335,205,640,147,114,389,548,371,336,219,280,659,411,349,306,374,382,294,306,255,451,332,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Afipia;"
"14",165,510,283,34,139,101,57,152,210,433,44,63,100,147,566,33,203,9,220,61,203,83,377,158,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Xenophilus;"
"15",159,273,385,51,376,407,99,385,72,204,86,25,308,181,157,154,131,34,91,119,80,190,147,57,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Flavisolibacter;"
