,contamination,replicate,block,GP.copies.gram.soil,GN.copies.gram.soil
FNC1,control,1,1,16079365,2344444
FNC2,control,2,1,349482,3526693
FNC3,control,3,1,37824000,2527200
FNC4,control,4,2,40629032,17588710
FNC5,control,5,2,34795181,12345382
FNC6,control,6,2,42634921,8253968
FNC7,control,7,3,117222222,13071429
FNC8,control,8,3,26358566,9681275
FNC9,control,9,3,29020243,10680162
FNC10,control,10,4,6507510,5150988
FNC11,control,11,4,25233202,10932806
FNC12,control,12,4,NA,3744223
FC1,phenanthrene,1,1,19729084,186613546
FC2,phenanthrene,2,1,28268775,79762846
FC3,phenanthrene,3,1,33529880,24645418
FC4,phenanthrene,4,2,63569721,40007968
FC5,phenanthrene,5,2,32768000,9568000
FC6,phenanthrene,6,2,73488000,513360000
FC7,phenanthrene,7,3,47114625,224980237
FC8,phenanthrene,8,3,39007874,81259843
FC9,phenanthrene,9,3,138956522,49415020
FC10,phenanthrene,10,4,31888446,172350598
FC11,phenanthrene,11,4,10979032,48645161
FC12,phenanthrene,12,4,36370968,130080645
